county_name,state,total_fires,pct_silent,pct_evac,extreme_fires,svi_score,pop_age65,pop_disability,pop_poverty,pop_no_vehicle,svi_minority,svi_housing,svi_socioeconomic,svi_household,lat,lon
Anderson County,Texas,23,0.2608695652173913,0.0,0,0.896,8569,7628,11707,1105,0.8129,0.9943,0.7862,0.5428,31.732817,-95.473883
Angelina County,Texas,30,0.5666666666666667,0.0,0,0.9917,14097,16138,25864,1756,0.7916,0.9656,0.9386,0.9876,31.3095,-95.020883
Anoka County,Minnesota,27,0.8148148148148148,0.0,0,0.1807,53293,35412,40952,6374,0.5654,0.3178,0.0837,0.3303,45.30803648583009,-93.25075245408487
Apache County,Arizona,212,0.6745283018867925,0.0047169811320754715,0,0.965,10461,9126,30481,2509,0.9841,0.9402,0.8902,0.9284,35.68944444,-109.06444444
Aransas County,Texas,12,0.4166666666666667,0.08333333333333333,0,0.7614,6646,4005,6251,580,0.714,0.7865,0.7849,0.3952,27.816521,-97.086549
Arapahoe County,Colorado,36,0.8611111111111112,0.0,0,0.4661,89962,67778,89321,12544,0.8031,0.4117,0.4101,0.4038,39.754296,-104.621775
Archer County,Texas,8,0.0,0.0,0,0.2657,1783,1512,1618,85,0.3748,0.035,0.3843,0.7531,33.647,-98.7064
Archuleta County,Colorado,234,0.8205128205128205,0.004273504273504274,3,0.3484,3653,2083,2657,141,0.5969,0.2304,0.5237,0.1473,37.321967,-107.329033
Armstrong County,Texas,1,1.0,0.0,0,0.0865,549,217,271,0,0.3802,0.0458,0.0643,0.56,34.8543,-101.2226
Ashley County,Arkansas,1,0.0,0.0,0,0.8237,4011,4329,7092,637,0.6971,0.5062,0.8171,0.9262,33.066451,-92.178384
Asotin County,Washington,43,0.627906976744186,0.023255813953488372,1,0.4283,5333,4107,5972,311,0.3535,0.1826,0.5743,0.5807,46.1192,-117.2808
Atascosa County,Texas,5,0.2,0.2,0,0.8664,7323,5760,11523,882,0.9551,0.6707,0.8279,0.8349,29.15667592791952,-98.52342797757343
Atoka County,Oklahoma,13,0.38461538461538464,0.0,0,0.8556,2619,2997,3733,339,0.6949,0.8718,0.8199,0.7076,34.4857,-96.0498
Audubon County,Iowa,1,1.0,0.0,0,0.0611,1397,749,1123,179,0.0579,0.0706,0.0846,0.3843,41.6743308,-94.7828561
Aurora County,South Dakota,5,1.0,0.0,0,0.104,499,316,288,19,0.3322,0.0754,0.0649,0.5921,43.5753,-98.70926
Austin County,Texas,3,1.0,0.0,0,0.7133,6070,3915,6684,419,0.7821,0.4547,0.5991,0.8877,29.66773,-96.26688
Avoyelles Parish,Louisiana,1,0.0,0.0,0,0.9682,6828,8591,15059,1439,0.7299,0.9084,0.9545,0.9383,30.809722,-91.963056
Baca County,Colorado,12,0.8333333333333334,0.0,0,0.5472,835,592,1139,81,0.4839,0.5832,0.5463,0.4566,37.315802,-103.155527
Baker County,Oregon,186,0.7096774193548387,0.026881720430107527,1,0.4811,4530,3680,3929,336,0.3166,0.5234,0.5078,0.4508,45.1541,-117.6811
Bandera County,Texas,4,0.25,0.0,0,0.5899,5919,3958,4471,130,0.6198,0.44,0.5838,0.6519,29.80539425100865,-99.07175519982576
Banner County,Nebraska,2,1.0,0.0,0,0.0124,203,99,87,6,0.2214,0.0006,0.0372,0.4512,41.5130629,-103.75118
Bannock County,Idaho,33,0.42424242424242425,0.030303030303030304,0,0.4995,12835,13042,19982,1625,0.489,0.6125,0.4403,0.4337,43.018621,-112.327082
Barber County,Kansas,2,0.5,0.0,0,0.5107,929,795,1094,106,0.3847,0.476,0.42,0.7531,37.2822168,-98.7781373
Barnes County,North Dakota,1,1.0,0.0,0,0.1842,2445,1391,1942,275,0.2879,0.5838,0.1355,0.0885,46.919696,-97.739874
Barry County,Missouri,5,0.2,0.0,0,0.5768,7613,5547,9941,475,0.5094,0.2568,0.672,0.749,36.610533,-93.79045
Bastrop County,Texas,18,0.5555555555555556,0.05555555555555555,0,0.7566,15129,11624,19619,973,0.8791,0.6872,0.7276,0.5517,30.1519,-97.295
Baxter County,Arkansas,3,0.6666666666666666,0.0,0,0.4333,13003,10799,11921,835,0.2109,0.3366,0.6131,0.3618,36.061333,-92.326283
Beadle County,South Dakota,4,1.0,0.0,0,0.7289,3581,2342,4870,519,0.6332,0.931,0.3977,0.8021,44.576,-98.3
Bear Lake County,Idaho,17,0.8235294117647058,0.0,0,0.2024,1367,993,1383,87,0.182,0.0821,0.2361,0.7105,42.5086,-111.134
Beaver County,Utah,93,0.7849462365591398,0.0,0,0.1457,1004,889,677,62,0.4658,0.0519,0.1556,0.5612,38.2659,-112.6347
Beaverhead County,Montana,76,0.7631578947368421,0.0,0,0.2043,2178,1496,2317,36,0.3166,0.4343,0.307,0.041,45.3021,-112.966
Becker County,Minnesota,39,0.717948717948718,0.0,0,0.3808,7539,5108,7067,724,0.4165,0.5616,0.2615,0.4451,46.6486,-96.0561
Beckham County,Oklahoma,3,0.6666666666666666,0.0,0,0.8403,3074,2608,5679,446,0.6287,0.9698,0.8473,0.3045,35.640703,-99.282731
Bee County,Texas,11,0.18181818181818182,0.0,0,0.9166,3895,3623,7262,431,0.9599,0.9329,0.9507,0.4098,28.2645,-97.651
Bell County,Texas,3,0.3333333333333333,0.0,0,0.937,42044,51891,94197,7846,0.9033,0.881,0.8871,0.8861,31.113982,-97.705506
Beltrami County,Minnesota,110,0.8181818181818182,0.0,0,0.755,7698,6782,12021,1229,0.6548,0.9647,0.5768,0.4572,47.379394,-94.604321
Benewah County,Idaho,126,0.7222222222222222,0.015873015873015872,0,0.6717,2240,2115,2671,79,0.4588,0.3618,0.8123,0.6955,47.34,-116.6066
Bennett County,South Dakota,14,0.5,0.0,0,0.811,432,370,1533,91,0.937,0.531,0.9427,0.3754,43.1,-101.575
Benson County,North Dakota,38,0.6842105263157895,0.0,0,0.7426,837,787,2331,172,0.9211,0.8107,0.4117,0.8565,47.965,-99.0825
Bent County,Colorado,4,0.5,0.0,0,0.8804,1023,889,1692,143,0.8377,0.9838,0.8937,0.2692,38.03438,-103.201479
Benton County,Arkansas,6,1.0,0.0,0,0.3268,38881,28528,42211,2931,0.7286,0.3115,0.182,0.5892,36.449444,-94.01
Benton County,Iowa,1,1.0,0.0,0,0.007,4835,2960,3492,328,0.0474,0.0283,0.0092,0.125,42.1810645,-92.1430883
Benton County,Minnesota,11,0.5454545454545454,0.0,0,0.3719,5629,4550,6688,865,0.3748,0.8301,0.1362,0.4136,45.816648,-94.029922
Benton County,Oregon,48,0.875,0.0,0,0.5005,16155,11392,22939,2923,0.5488,0.8918,0.5399,0.0277,44.4061,-123.3126
Benton County,Washington,161,0.6273291925465838,0.0,0,0.6405,31955,29261,36183,3827,0.6993,0.6157,0.4232,0.8441,46.23097838168664,-119.1941585273135
Bernalillo County,New Mexico,61,0.819672131147541,0.0,0,0.7929,115541,99387,173310,19591,0.9364,0.7168,0.7296,0.6564,35.07401,-106.38452
Bexar County,Texas,3,0.6666666666666666,0.3333333333333333,0,0.9192,248631,282499,494714,46369,0.972,0.7712,0.8995,0.8635,29.28811489574977,-98.3885307771874
Big Horn County,Montana,228,0.6008771929824561,0.0,0,0.7646,1703,1373,5389,235,0.9714,0.7661,0.8861,0.0977,45.2213,-107.3848
Big Horn County,Wyoming,41,0.7317073170731707,0.0,0,0.531,2510,1914,2303,129,0.4018,0.3064,0.5447,0.7926,44.435464,-108.0594595
Big Stone County,Minnesota,11,0.9090909090909091,0.0,0,0.0881,1329,659,914,106,0.0474,0.3567,0.0592,0.1855,45.304,-96.298194
Billings County,North Dakota,12,0.75,0.0,0,0.0095,212,65,114,12,0.0003,0.2113,0.0127,0.015,46.967667,-103.41425
Bingham County,Idaho,20,0.35,0.05,0,0.5469,6994,7927,10497,645,0.6249,0.2841,0.5517,0.7423,43.127867,-112.467217
Blaine County,Idaho,30,0.7333333333333333,0.03333333333333333,0,0.4025,4922,2444,3067,180,0.6516,0.385,0.2523,0.6462,43.32795,-114.359133
Blaine County,Montana,60,0.5833333333333334,0.0,0,0.9443,1111,1379,2314,210,0.9036,0.8982,0.9055,0.8721,48.4655556,-108.6261111
Blaine County,Nebraska,1,0.0,0.0,0,0.0799,144,90,77,3,0.0,0.0156,0.2008,0.5043,41.5529899,-100.0203898
Blaine County,Oklahoma,6,0.16666666666666666,0.0,0,0.7553,1628,1285,1793,74,0.6701,0.3656,0.7009,0.9621,36.029444,-98.532222
Blanco County,Texas,3,0.0,0.0,0,0.2339,2822,1670,1775,86,0.615,0.0694,0.3999,0.2593,30.34494,-98.471061
Blue Earth County,Minnesota,2,1.0,0.0,0,0.3831,9986,7434,16220,1897,0.4018,0.9325,0.2822,0.0433,43.992132,-93.899617
Boise County,Idaho,251,0.7848605577689243,0.01593625498007968,2,0.1075,2103,1075,1337,97,0.3961,0.1346,0.1578,0.1292,44.0787,-115.5954
Bonner County,Idaho,143,0.8741258741258742,0.006993006993006993,1,0.412,12317,8251,10024,826,0.2692,0.4954,0.4655,0.3318,48.34275,-116.3227
Bonneville County,Idaho,14,0.7142857142857143,0.0,0,0.4473,16643,17502,23789,1732,0.504,0.3703,0.4101,0.5915,43.263667,-111.9685
Boone County,Missouri,31,0.7419354838709677,0.0,0,0.4244,23766,22494,43971,4554,0.5711,0.7776,0.3968,0.062,39.083692,-92.4715387
Bottineau County,North Dakota,4,1.0,0.0,0,0.111,1578,853,800,57,0.2854,0.3073,0.0907,0.1333,48.662127,-100.297674
Boulder County,Colorado,99,0.8888888888888888,0.010101010101010102,0,0.209,50239,27883,51494,6884,0.5892,0.5962,0.2202,0.0169,40.046417,-105.206883
Boundary County,Idaho,134,0.7761194029850746,0.007462686567164179,1,0.5037,2906,2055,3122,81,0.3388,0.3067,0.657,0.5199,48.57368,-116.038
Bowie County,Texas,13,0.3076923076923077,0.0,0,0.8766,15839,10961,23346,2135,0.7585,0.9768,0.7413,0.7114,33.457633,-94.1878
Box Elder County,Utah,126,0.8095238095238095,0.0,0,0.1215,7337,6549,9703,777,0.3977,0.1686,0.1527,0.1416,41.468967,-112.17225
Bradley County,Arkansas,3,1.0,0.0,0,0.8864,1931,2071,3416,310,0.8365,0.6901,0.8778,0.895,33.30469632374903,-92.27562485613451
Brazoria County,Texas,12,0.3333333333333333,0.0,0,0.6519,45825,35236,51413,3436,0.9007,0.7245,0.4588,0.5966,28.894968,-95.516092
Brazos County,Texas,1,1.0,0.0,0,0.804,22329,21988,69232,4765,0.8377,0.9392,0.8368,0.1464,30.552166,-96.24616
Brewster County,Texas,4,0.25,0.0,0,0.6478,2260,1141,2153,304,0.8603,0.7359,0.5352,0.4168,29.324722,-103.208056
Briscoe County,Texas,3,0.0,0.0,0,0.5479,388,272,613,23,0.8101,0.008,0.8587,0.8072,34.553153,-101.440791
Broadwater County,Montana,29,0.7586206896551724,0.0,0,0.0827,1692,1019,1360,56,0.314,0.0076,0.4913,0.0328,46.327033,-111.330283
Brookings County,South Dakota,1,1.0,0.0,0,0.154,4480,3087,7014,772,0.335,0.7401,0.1871,0.006,44.43774,-96.98158
Brooks County,Texas,1,0.0,0.0,0,0.9163,1395,1564,2742,411,0.9965,0.7687,0.9014,0.8377,27.381805,-98.155142
Broomfield County,Colorado,10,1.0,0.0,0,0.0436,10853,5817,5601,1095,0.6128,0.1088,0.0353,0.0557,40.0,-105.066667
Brown County,Nebraska,4,0.75,0.0,0,0.1444,778,371,546,35,0.2364,0.0531,0.3013,0.3255,42.739,-100.069
Brown County,South Dakota,6,0.8333333333333334,0.0,0,0.2669,6759,4474,6051,1011,0.42,0.5905,0.1549,0.2628,45.73,-98.294
Brown County,Texas,13,0.15384615384615385,0.0,0,0.9135,7663,7868,8969,858,0.6701,0.943,0.742,0.9631,31.90173,-99.151445
Brule County,South Dakota,5,1.0,0.0,0,0.3872,1004,747,1258,97,0.5081,0.5094,0.3866,0.2294,43.666278,-99.484167
Buffalo County,Nebraska,2,0.5,0.0,0,0.3828,7835,6515,9675,841,0.4165,0.5412,0.2924,0.4149,40.8083602,-99.1790461
Buffalo County,South Dakota,24,0.875,0.0,0,0.9892,140,260,859,70,0.9831,0.9399,0.9975,0.7728,43.973889,-99.266944
Burke County,North Dakota,4,1.0,0.0,0,0.0363,467,267,249,12,0.1572,0.0815,0.0159,0.3194,48.67475,-102.08266
Burleigh County,North Dakota,7,0.8571428571428571,0.0,0,0.1963,16772,10932,11847,2275,0.3939,0.7655,0.0382,0.1556,46.7249,-100.52
Burnet County,Texas,18,0.8333333333333334,0.0,0,0.5819,11477,7776,9273,618,0.6437,0.5046,0.4986,0.6911,30.648944,-98.228241
Burnett County,Wisconsin,7,0.5714285714285714,0.0,0,0.1928,4998,2921,3651,224,0.2879,0.0824,0.412,0.23,46.07376,-92.44947
Butler County,Missouri,5,0.2,0.0,0,0.8412,8017,9508,14463,1435,0.3888,0.7563,0.9402,0.6265,36.921575,-90.44089
Butte County,California,453,0.8278145695364238,0.006622516556291391,1,0.8225,38852,34705,58898,5063,0.6806,0.9437,0.7706,0.4843,39.49508181187462,-121.5305584113142
Butte County,Idaho,21,0.7619047619047619,0.0,0,0.7009,572,489,897,61,0.328,0.4267,0.5186,0.9959,43.589167,-113.116944
Butte County,South Dakota,7,0.8571428571428571,0.0,0,0.5431,2033,1560,2193,157,0.3503,0.6268,0.7337,0.1444,44.639967,-104.147583
Cache County,Utah,34,0.8529411764705882,0.0,1,0.3478,13027,11344,31535,1381,0.4779,0.538,0.2816,0.2889,41.82945,-111.6042
Caddo County,Oklahoma,31,0.5483870967741935,0.0,0,0.8705,4214,4984,7861,735,0.8304,0.8171,0.7601,0.8801,35.185725,-98.259381
Caddo Parish,Louisiana,1,0.0,0.0,0,0.9329,42364,40538,77376,9764,0.9017,0.8963,0.9033,0.8202,32.392072,-94.107251
Calaveras County,California,202,0.6633663366336634,0.009900990099009901,2,0.3357,13155,9660,9689,355,0.552,0.0614,0.5425,0.4706,37.936758,-120.604704
Caldwell County,Texas,11,0.09090909090909091,0.0,0,0.8956,7020,7074,11504,678,0.9364,0.9745,0.7299,0.7442,29.718715,-97.727643
Calhoun County,Arkansas,2,0.5,0.0,0,0.4967,1023,1158,970,49,0.6487,0.2307,0.5205,0.6545,33.62980704624336,-92.56981948317672
Calhoun County,Texas,3,0.3333333333333333,0.0,0,0.72,3703,3740,3674,331,0.9163,0.6007,0.3605,0.9675,28.309167,-96.805833
Callahan County,Texas,14,0.0,0.0,0,0.2956,2853,2898,2684,181,0.4699,0.0929,0.4155,0.5444,32.296317,-99.1652
Callaway County,Missouri,3,1.0,0.0,0,0.2447,7528,5649,7572,646,0.3217,0.3169,0.4445,0.0589,38.76239,-92.199057
Camas County,Idaho,73,0.7397260273972602,0.0136986301369863,2,0.3271,152,176,152,5,0.5406,0.0907,0.5348,0.3824,43.45563,-114.8026
Cameron County,Texas,11,0.5454545454545454,0.0,0,0.9844,57772,51336,167464,9069,0.9962,0.8317,0.9895,0.9163,26.089975,-97.353215
Camp County,Texas,7,0.5714285714285714,0.0,0,0.917,2279,2176,4331,220,0.8492,0.4458,0.9163,0.9927,33.053,-95.049
Campbell County,South Dakota,1,0.0,0.0,0,0.0878,419,188,206,31,0.0627,0.1247,0.1269,0.2972,45.856911,-100.458078
Campbell County,Wyoming,127,0.3779527559055118,0.015748031496062992,0,0.2367,5377,4829,6639,525,0.4018,0.2819,0.2345,0.3137,44.352224,-105.195272
Canadian County,Oklahoma,6,0.6666666666666666,0.0,0,0.3433,20977,20292,21117,1878,0.6316,0.3248,0.245,0.5253,35.572702,-98.013214
Canyon County,Idaho,23,0.9130434782608695,0.0,0,0.6217,33361,34838,45898,2615,0.6885,0.4623,0.5647,0.7311,43.5908,-116.7252
Carbon County,Montana,60,0.6333333333333333,0.0,0,0.1241,2841,1767,1952,127,0.2109,0.0258,0.342,0.2615,45.4947943,-108.8727907
Carbon County,Utah,95,0.8210526315789474,0.0,0,0.6297,3742,3383,5580,352,0.4932,0.3748,0.7051,0.7436,39.35265,-110.0422
Carbon County,Wyoming,92,0.6630434782608695,0.0,0,0.5377,2673,1764,3547,212,0.5892,0.5539,0.51,0.4547,41.15445,-107.469333
Caribou County,Idaho,22,0.6363636363636364,0.0,0,0.1231,1199,847,999,76,0.3118,0.2039,0.2332,0.0512,42.605867,-112.075167
Carlton County,Minnesota,24,0.7083333333333334,0.0,0,0.3678,6494,5330,6847,659,0.3649,0.6386,0.21,0.4808,46.5878164,-92.4062393
Carson City,Nevada,154,0.9545454545454546,0.012987012987012988,4,0.8508,12003,8539,11146,1463,0.7308,0.9755,0.6771,0.6965,39.1717154,-120.154417
Carson County,Texas,3,0.3333333333333333,0.0,0,0.083,1218,565,725,64,0.4636,0.0945,0.0888,0.2151,35.232287020975484,-101.11745976648332
Carter County,Missouri,9,0.3333333333333333,0.0,0,0.4823,1069,1554,1617,202,0.1696,0.2348,0.8005,0.3353,36.84222,-91.083183
Carter County,Montana,38,0.3684210526315789,0.0,0,0.4069,411,205,349,34,0.1409,0.7681,0.5084,0.0675,45.8171,-104.4088
Carter County,Oklahoma,35,0.5428571428571428,0.0,0,0.7751,8174,10267,12327,948,0.6971,0.4652,0.6532,0.9707,34.085738,-97.130487
Carver County,Minnesota,4,1.0,0.0,0,0.0337,14153,8243,7196,1573,0.3818,0.0862,0.0048,0.1954,44.7182,-93.6281
Cascade County,Montana,24,0.375,0.0,0,0.4435,16052,12171,18823,1980,0.4613,0.6761,0.3357,0.3439,47.418417,-111.4653
Cass County,Iowa,1,1.0,0.0,0,0.2144,3030,1922,3058,365,0.0881,0.2704,0.2609,0.3738,41.2308625,-94.8920636
Cass County,Minnesota,40,0.75,0.0,0,0.3465,8003,4527,6828,558,0.5202,0.2657,0.4763,0.2291,47.209001,-94.168342
Cass County,Nebraska,1,1.0,0.0,0,0.0379,4827,3341,3704,359,0.2164,0.0722,0.0955,0.0605,40.9798449,-96.1398324
Cass County,North Dakota,1,1.0,0.0,0,0.2485,23344,18506,30702,4809,0.4636,0.7477,0.1511,0.0649,46.905783,-97.120957
Cass County,Texas,33,0.09090909090909091,0.0,0,0.8619,6349,5937,8077,702,0.6045,0.5644,0.8396,0.9663,32.884467,-94.22225
Cassia County,Idaho,110,0.7,0.0,0,0.56,3502,3239,5844,329,0.6971,0.5208,0.5103,0.5367,42.25195,-113.6842
Catron County,New Mexico,389,0.7249357326478149,0.010282776349614395,9,0.4483,1572,1494,1460,91,0.5406,0.4206,0.4384,0.4524,33.606783,-108.685
Cavalier County,North Dakota,2,1.0,0.0,0,0.0955,1041,382,554,70,0.1457,0.1992,0.0563,0.3882,48.4814,-98.1958
Chaffee County,Colorado,118,0.9322033898305084,0.00847457627118644,0,0.6096,5141,2364,3689,362,0.4378,0.5915,0.5657,0.693,38.3691,-106.469
Chambers County,Texas,14,0.5714285714285714,0.0,0,0.4798,5674,5067,8217,401,0.7391,0.1938,0.5663,0.5148,29.9116,-94.7909
Charles Mix County,South Dakota,7,1.0,0.0,0,0.6777,1690,1086,2976,157,0.756,0.6468,0.8091,0.175,43.006572,-98.390057
Chase County,Kansas,3,1.0,0.0,0,0.2358,595,326,685,49,0.3503,0.216,0.2246,0.482,38.4325,-96.5575
Chautauqua County,Kansas,8,0.5,0.0,0,0.5781,825,737,1037,45,0.4613,0.4881,0.6557,0.5186,36.821389,-96.267222
Chaves County,New Mexico,68,0.5588235294117647,0.0,0,0.9701,10258,12247,20839,1386,0.9389,0.8864,0.8683,0.9854,33.581867,-104.207462
Chelan County,Washington,246,0.7886178861788617,0.024390243902439025,4,0.7999,15729,14033,13855,1609,0.7098,0.8129,0.5068,0.9542,47.504262,-120.6342643
Cherokee County,Kansas,4,0.25,0.0,0,0.4718,3786,4013,5128,557,0.4018,0.4346,0.4598,0.5816,36.97939,-94.723378
Cherokee County,Oklahoma,13,0.38461538461538464,0.0,0,0.9236,8174,9748,14327,1161,0.8899,0.9669,0.847,0.7241,36.091667,-95.010278
Cherokee County,Texas,32,0.21875,0.0,0,0.9717,8997,6027,14484,1106,0.7941,0.9551,0.9306,0.9259,31.90941,-95.33069
Cherry County,Nebraska,7,0.7142857142857143,0.0,0,0.3016,1137,658,1517,134,0.4416,0.6936,0.1947,0.1718,42.708,-101.127
Cheyenne County,Kansas,1,0.0,0.0,0,0.2953,676,412,646,32,0.3058,0.0213,0.4858,0.8056,39.68311301361652,-102.16963881999617
Cheyenne County,Nebraska,5,0.6,0.0,0,0.2857,1972,1418,2025,260,0.3649,0.5005,0.329,0.1215,40.818907,-102.820766
Childress County,Texas,4,0.5,0.0,0,0.7178,940,868,1729,40,0.867,0.1451,0.9408,0.5759,34.4306356,-100.2034206
Chippewa County,Minnesota,4,0.0,0.0,0,0.6452,2705,1864,2755,386,0.4222,0.6806,0.5145,0.8024,45.0141,-95.852752
Chisago County,Minnesota,35,0.6857142857142857,0.0,0,0.0426,9094,6245,6095,846,0.2323,0.3131,0.0385,0.0251,45.324863,-92.788506
Choctaw County,Oklahoma,6,0.0,0.0,0,0.9485,2918,3668,4811,484,0.797,0.7588,0.9367,0.9567,34.100278,-95.365278
Chouteau County,Montana,6,0.3333333333333333,0.0,0,0.2584,1279,723,1497,119,0.5892,0.3726,0.28,0.1222,47.8863,-110.124
Christian County,Missouri,1,0.0,0.0,0,0.1107,14386,11464,13311,836,0.2294,0.1047,0.1724,0.2641,36.9077,-93.02495
Churchill County,Nevada,23,0.782608695652174,0.0,0,0.6271,4941,4763,4696,340,0.6516,0.5317,0.5161,0.7703,39.9664,-118.7175
Cibola County,New Mexico,98,0.7040816326530612,0.0,2,0.9663,4606,5602,10094,445,0.9844,0.9555,0.8435,0.9497,34.8812,-108.0702
Cimarron County,Oklahoma,3,0.6666666666666666,0.0,0,0.3134,548,590,369,24,0.6656,0.015,0.2587,0.9647,37.033333,-102.6
Clackamas County,Oregon,100,0.8,0.02,0,0.3023,79730,52720,52903,7851,0.5437,0.4273,0.2377,0.3172,45.282306,-122.503278
Clallam County,Washington,97,0.7010309278350515,0.0,0,0.5861,23764,15206,14986,2132,0.5161,0.6799,0.4753,0.6128,48.07635,-124.2122
Clark County,Arkansas,5,1.0,0.0,0,0.8339,3470,4468,6046,501,0.6971,0.9908,0.6583,0.5422,34.26057220772249,-93.09510778229505
Clark County,Idaho,17,0.5882352941176471,0.0,0,0.5412,125,112,179,0,0.8829,0.1607,0.8206,0.2068,44.012517,-112.23405
Clark County,Nevada,328,0.8841463414634146,0.0,0,0.8635,343754,279747,508673,64086,0.9217,0.7127,0.8969,0.6647,35.8445,-114.5785
Clark County,South Dakota,9,1.0,0.0,0,0.3659,896,421,721,43,0.1985,0.2151,0.4372,0.6707,44.769797,-97.927398
Clark County,Washington,143,0.8461538461538461,0.0,0,0.4257,81124,63000,72508,8979,0.6013,0.448,0.3264,0.5037,45.65367,-122.3834
Clatsop County,Oregon,21,1.0,0.0,0,0.5813,9706,7933,7669,1491,0.4913,0.7149,0.4903,0.5434,45.876945,-123.927414
Clay County,Iowa,1,1.0,0.0,0,0.1826,3554,2486,3074,288,0.1985,0.1199,0.14,0.7407,43.0368,-95.0559
Clay County,Nebraska,1,1.0,0.0,0,0.0942,1236,795,1095,64,0.3503,0.0137,0.1069,0.6637,40.587,-97.824
Clay County,Texas,7,0.0,0.0,0,0.1772,2292,2091,1671,137,0.363,0.1044,0.161,0.602,34.045142,-98.298349
Clear Creek County,Colorado,36,0.9444444444444444,0.027777777777777776,0,0.1394,1984,1123,1245,183,0.4018,0.1677,0.3245,0.0356,39.529867,-105.507283
Clearwater County,Idaho,153,0.7581699346405228,0.0,1,0.5912,2502,1804,1738,191,0.3388,0.8349,0.4709,0.5272,46.51946,-115.7786
Clearwater County,Minnesota,25,0.68,0.0,0,0.7779,1768,1485,1684,272,0.4658,0.9109,0.7381,0.5552,47.95833,-95.27433
Cleburne County,Arkansas,1,1.0,0.0,0,0.3532,6833,5427,6586,326,0.1861,0.1785,0.5406,0.4792,35.3068,-92.1108
Cleveland County,Arkansas,3,1.0,0.0,0,0.286,1571,1674,2377,191,0.4537,0.2574,0.1782,0.6888,33.9087,-92.0435
Cleveland County,Oklahoma,9,0.5555555555555556,0.2222222222222222,0,0.5527,41729,42061,58359,4728,0.6752,0.6694,0.4954,0.3404,35.0703045,-97.2210808
Coal County,Oklahoma,3,0.3333333333333333,0.0,0,0.8358,1096,1291,1972,133,0.7226,0.4753,0.8314,0.9373,34.518611,-96.106944
Cochise County,Arizona,283,0.6254416961130742,0.0035335689045936395,0,0.9325,29105,21116,32193,2956,0.8473,0.9714,0.7121,0.9574,31.334133,-110.151967
Cochran County,Texas,2,0.0,0.0,0,0.938,425,450,1069,58,0.9481,0.8005,0.9135,0.8928,33.51777,-103.36533
Cocke County,Tennessee,1,1.0,0.0,0,0.7369,7841,8403,12155,622,0.182,0.2759,0.9287,0.8807,35.834407,-83.208248
Coconino County,Arizona,867,0.8685121107266436,0.0011534025374855825,17,0.8031,19453,18304,35593,2817,0.8533,0.9917,0.8097,0.0595,36.0611111,-112.1188889
Codington County,South Dakota,12,1.0,0.0,0,0.2415,5229,3172,5586,668,0.2628,0.6993,0.1861,0.0945,44.912148,-97.413163
Coffey County,Kansas,11,0.9090909090909091,0.0,0,0.2743,1809,1418,1716,172,0.1985,0.1798,0.2599,0.7477,38.324604,-95.923024
Cole County,Missouri,2,0.5,0.0,0,0.2049,13334,8839,11158,1607,0.525,0.4696,0.1161,0.1877,38.720395499999995,-92.33740179999997
Coleman County,Texas,1,0.0,0.0,0,0.6449,1992,1631,1974,218,0.5994,0.2154,0.692,0.9055,31.991032,-99.310613
Colfax County,New Mexico,35,0.42857142857142855,0.0,1,0.7989,3404,3002,3916,483,0.8874,0.9341,0.5775,0.6513,36.581833,-104.589667
